,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,expensive_nbh
2340,81.0,100.0,1,1,Private room,1,1.0,1,225.0,1,1125,0,0
2341,90.0,67.0,1,1,Shared room,1,1.0,1,80.0,1,30,68,0
2342,91.0,100.0,2,2,Private room,1,1.0,1,110.0,1,1125,10,0
2343,100.0,80.0,1,2,Private room,1,1.0,1,95.0,2,1125,11,0
2344,100.0,40.0,2,4,Entire home/apt,1,1.0,2,95.0,2,31,46,0
2345,100.0,100.0,1,2,Entire home/apt,1,1.0,1,159.0,3,180,12,0
2346,20.0,57.6,1,2,Entire home/apt,0,1.0,1,150.0,3,30,3,0
2347,100.0,80.0,4,1,Shared room,1,1.0,1,90.0,1,4,77,0
2348,100.0,100.0,2,2,Entire home/apt,1,1.0,1,101.0,2,1125,0,0
2349,61.0,80.0,1,1,Entire home/apt,0,1.0,1,149.0,1,1125,0,0
2350,90.0,67.0,4,1,Private room,1,2.0,1,89.0,1,1125,13,0
2351,100.0,60.0,1,1,Private room,1,1.0,1,60.0,1,5,1,0
2352,100.0,0.0,1,3,Entire home/apt,1,1.0,1,99.0,3,1125,1,0
2353,75.0,100.0,1,2,Entire home/apt,1,1.0,1,125.0,3,14,3,0
2354,100.0,100.0,1,2,Entire home/apt,0,1.0,1,120.0,2,1125,7,0
2355,100.0,100.0,1,5,Entire home/apt,2,1.0,5,180.0,3,1125,4,0
2356,100.0,100.0,1,3,Entire home/apt,1,1.0,1,115.0,2,1125,0,0
2357,90.0,100.0,1,2,Private room,1,1.0,1,109.0,1,1125,22,0
2358,75.0,0.0,2,6,Entire home/apt,2,2.5,2,399.0,2,1125,1,0
2359,100.0,29.0,3,4,Entire home/apt,1,2.0,2,185.0,1,5,2,0
2360,100.0,100.0,2,2,Private room,1,1.0,1,90.0,3,100,67,0
2361,70.0,90.0,1,3,Entire home/apt,1,2.0,2,209.0,3,1125,9,0
2362,100.0,33.0,1,3,Entire home/apt,1,1.0,1,139.0,3,1125,9,0
